Geographic name,Province,Population 2021,Geographic type
Toronto,Ontario,2794356,City
Montreal,Quebec,1762949,City
Calgary,Alberta,1306784,City
Ottawa,Ontario,1017449,City
Edmonton,Alberta,1010899,City
Mississauga,Ontario,717961,City
Winnipeg,Manitoba,749607,City
Vancouver,British Columbia,695263,City
Brampton,Ontario,656480,City
Hamilton,Ontario,569353,City
Quebec City,Quebec,549459,City
Surrey,British Columbia,568322,City
Laval,Quebec,438366,City
Halifax,Nova Scotia,439819,City
London,Ontario,422324,City
Markham,Ontario,338503,City
Vaughan,Ontario,323103,City
Gatineau,Quebec,291041,City
Longueuil,Quebec,254483,City
Burnaby,British Columbia,249125,City
Saskatoon,Saskatchewan,266064,City
Kitchener,Ontario,256885,City
Windsor,Ontario,229660,City
Regina,Saskatchewan,230014,City
Richmond,British Columbia,209937,City
Richmond Hill,Ontario,195022,City
Oakville,Ontario,213759,City
Burlington,Ontario,186948,City
Greater Sudbury,Ontario,166004,City
Sherbrooke,Quebec,172950,City
Oshawa,Ontario,175383,City
Saguenay,Quebec,144746,City
Lévis,Quebec,149683,City
Barrie,Ontario,147829,City
Abbotsford,British Columbia,153524,City
St. Catharines,Ontario,136803,City
Coquitlam,British Columbia,148625,City
Trois-Rivières,Quebec,139163,City
Guelph,Ontario,143740,City
Cambridge,Ontario,138479,City
Whitby,Ontario,138501,City
Ajax,Ontario,126666,City
Langley,British Columbia,132603,City
Saanich,British Columbia,117735,City
Terrebonne,Quebec,119944,City
Milton,Ontario,132979,City
Moncton,New Brunswick,79470,City
Thunder Bay,Ontario,123258,City
Waterloo,Ontario,121436,City
Delta,British Columbia,108455,City
Chatham-Kent,Ontario,104859,City
Red Deer,Alberta,100418,City
Kamloops,British Columbia,97902,City
Brantford,Ontario,104688,City
Cape Breton,Nova Scotia,94285,City
Lethbridge,Alberta,98406,City
Saint-Jean-sur-Richelieu,Quebec,99669,City
Clarington,Ontario,97565,City
Pickering,Ontario,99186,City
Nanaimo,British Columbia,99863,City
North Vancouver,British Columbia,88168,City
Repentigny,Quebec,87763,City
Newmarket,Ontario,87942,City
Chilliwack,British Columbia,93203,City
White Rock,British Columbia,82368,City
Maple Ridge,British Columbia,90990,City
Peterborough,Ontario,83651,City
Kawartha Lakes,Ontario,79247,City
Prince George,British Columbia,76708,City
Sault Ste. Marie,Ontario,73368,City
Sarnia,Ontario,72047,City
Wood Buffalo,Alberta,71589,City
New Westminster,British Columbia,78916,City
Châteauguay,Quebec,80815,City
Saint-Jérôme,Quebec,77996,City
Drummondville,Quebec,79258,City
Saint John,New Brunswick,69895,City
Caledon,Ontario,76581,City
St. John's,Newfoundland and Labrador,110525,City
Kelowna,British Columbia,144576,City
Markham,Ontario,338503,City
